Year,Month,Date Indicator,Rolling Sum
2012,1,2012,0
2012,2,2012.083333,0.043835616
2012,3,2012.166667,0.126027397
2012,4,2012.25,0.208219178
2012,5,2012.333333,0.293150685
2012,6,2012.416667,0.375342466
2012,7,2012.5,0.460273973
2012,8,2012.583333,0.536986301
2012,9,2012.666667,0.6
2012,10,2012.75,0.660273973
2012,11,2012.833333,0.734246575
2012,12,2012.916667,0.778082192
2013,1,2013,0.778082192
2013,2,2013.083333,0.780821918
2013,3,2013.166667,0.917808219
2013,4,2013.25,1.02739726
2013,5,2013.333333,1.104109589
2013,6,2013.416667,1.252054795
2013,7,2013.5,1.394520548
2013,8,2013.583333,1.528767123
2013,9,2013.666667,1.649315068
2013,10,2013.75,1.802739726
2013,11,2013.833333,1.967123288
2013,12,2013.916667,2.010958904
2014,1,2014,2.032876712
2014,2,2014.083333,2.224657534
2014,3,2014.166667,2.479452055
2014,4,2014.25,2.709589041
2014,5,2014.333333,2.964383562
2014,6,2014.416667,3.153424658
2014,7,2014.5,3.317808219
2014,8,2014.583333,3.487671233
2014,9,2014.666667,3.652054795
2014,10,2014.75,3.81369863
2014,11,2014.833333,3.97260274
2014,12,2014.916667,4.04109589
2015,1,2015,4.210958904
2015,2,2015.083333,4.364383562
2015,3,2015.166667,4.534246575
2015,4,2015.25,4.698630137
2015,5,2015.333333,4.868493151
2015,6,2015.416667,5.032876712
2015,7,2015.5,5.202739726
2015,8,2015.583333,5.306849315
2015,9,2015.666667,5.389041096
2015,10,2015.75,5.473972603
2015,11,2015.833333,5.509589041
2015,12,2015.916667,5.750684932
2016,1,2016,6
2016,2,2016.083333,6.232876712
2016,3,2016.166667,6.323287671
2016,4,2016.25,6.471232877
2016,5,2016.333333,6.726027397
2016,6,2016.416667,6.906849315
2016,7,2016.5,7.076712329
2016,8,2016.583333,7.205479452
2016,9,2016.666667,7.369863014
2016,10,2016.75,7.539726027
2016,11,2016.833333,7.704109589
2016,12,2016.916667,7.797260274
2017,1,2017,7.857534247
2017,2,2017.083333,7.934246575
2017,3,2017.166667,8.019178082
2017,4,2017.25,8.101369863
2017,5,2017.333333,8.17260274
2017,6,2017.416667,8.17260274
2017,7,2017.5,8.17260274
2017,8,2017.583333,8.17260274
2017,9,2017.666667,8.17260274
2017,10,2017.75,8.17260274
2017,11,2017.833333,8.17260274
2017,12,2017.916667,8.17260274
2018,1,2018,8.397260274
2018,2,2018.083333,8.780821918
2018,3,2018.166667,9.205479452
2018,4,2018.25,9.616438356
2018,5,2018.333333,10.04109589
2018,6,2018.416667,10.45205479
2018,7,2018.5,10.7890411
2018,8,2018.583333,11.11506849
2018,9,2018.666667,11.44383562
2018,10,2018.75,11.77808219
2018,11,2018.833333,12.09589041
2018,12,2018.916667,12.45753425
2019,1,2019,12.85205479
2019,2,2019.083333,13.23013699
2019,3,2019.166667,13.65205479
2019,4,2019.25,14.0630137
2019,5,2019.333333,14.38630137
2019,6,2019.416667,14.7890411
2019,7,2019.5,15.21369863
2019,8,2019.583333,15.58630137
2019,9,2019.666667,15.75890411
2019,10,2019.75,16.04657534
2019,11,2019.833333,16.2739726
2019,12,2019.916667,16.42465753
2020,1,2020,16.72054795
2020,2,2020.083333,17.05753425
2020,3,2020.166667,17.4630137
2020,4,2020.25,17.8739726
2020,5,2020.333333,18.29863014
2020,6,2020.416667,18.66027397
2020,7,2020.5,19.05753425
2020,8,2020.583333,19.48219178
2020,9,2020.666667,19.89315068
2020,10,2020.75,20.31780822
2020,11,2020.833333,20.70136986
2020,12,2020.916667,21.04109589
2021,1,2021,21.30136986
2021,2,2021.083333,21.53972603
2021,3,2021.166667,21.87945205