SNR, Efficiency
4.899941141848146, 0.013952512147528795
6.268393172454374, 0.28471174876903693
7.63684520306062, 0.4035241667770604
9.020011771630367, 0.4473139610082908
10.403178340200107, 0.4303250277941273
11.801059446733367, 0.38199818115454764
13.243084167157145, 0.3982520861665455
14.582107121836364, 0.4562835409019437
15.9358446144791, 0.3357786016801123
17.36315479693937, 0.3814710848848577
18.761035903472617, 0.38917462760900046
20.11477339611535, 0.3702841233349372
21.468510888758086, 0.2687725364397917
22.93996468510888, 0.02766875325242979
24.367274867569144, 0.01733084709345234